
sp 07/04/2017 ICOM_SP                        TABLE                      0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
rj 14/02/2017 ICOM_RJ                        TABLE                      0  0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
rs 08/02/2017 ICOM_RS                        TABLE                      0       0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
pa 03/03/2017 ICOM_PA                        TABLE                      0       0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
df 30/01/2017 ICOM_DF                        TABLE                      0      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
go 03/02/2017 ICOM_GO                        TABLE                  0 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ba 13/02/2017 ICOM_BA                        TABLE                  0 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ma 08/02/2017 ICOM_MA                        TABLE                    0       0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
pr 03/02/2017 ICOM_PR                        TABLE                      0      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
br 01/02/2017 ICOM                           TABLE                      0      0



sp 03/05/2017 HR                             INDEX                      19     1,1875                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 IX                             TABLE                       8         ,5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 OE                             NESTED TABLE                2       ,125                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 DDIGITAL_SP                    INDEX                      23  44835,375                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 LEONARDO                       INDEX                       7      9,375                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 APPQOSSYS                      TABLE                       4        ,25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 DDIGITAL_SP                    LOBINDEX                    6     583,25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 ICOM_SP                        LOBSEGMENT                  7 216385,188                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 HUDSON                         LOBINDEX                    1      ,0625                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 PORTALWEBSP                    INDEX                      41    4223,25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 XDB                            LOBSEGMENT                346     21,625                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 PM                             TABLE                       2       ,125                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 IX                             INDEX                      14       ,875                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
